# SPDX License List 3.27.0 (https://github.com/spdx/license-list-data/tree/v3.27.0)
# id<TAB>flags: D=deprecated O=OSI approved F=FSF libre
LGPL-2.1	DOF
LGPL-2.1+	DOF
LGPL-2.1-only	OF
LGPL-2.1-or-later	OF
LGPL-3.0	DOF
LGPL-3.0+	DOF
LGPL-3.0-only	OF
LGPL-3.0-or-later	OF
LGPLLR	
Libpng	
libpng-1.6.35	
libpng-2.0	
libselinux-1.0	
libtiff	
libutil-David-Nugent	
LiLiQ-P-1.1	O
LiLiQ-R-1.1	O
LiLiQ-Rplus-1.1	O
Linux-man-pages-1-para	
Linux-man-pages-copyleft	
Linux-man-pages-copyleft-2-para	
Linux-man-pages-copyleft-var	
Linux-OpenIB	
LOOP	
LPD-document	
LPL-1.0	O
LPL-1.02	OF
LPPL-1.0	
LPPL-1.1	
LPPL-1.2	F
LPPL-1.3a	F
LPPL-1.3c	O
lsof	
Lucida-Bitmap-Fonts	
LZMA-SDK-9.11-to-9.20	
LZMA-SDK-9.22	
Mackerras-3-Clause	
Mackerras-3-Clause-acknowledgment	
magaz	
mailprio	
MakeIndex	
man2html	
Martin-Birgmeier	
McPhee-slideshow	
metamail	
Minpack	
MIPS	
MirOS	O
MIT	OF
MIT-0	O
MIT-advertising	
MIT-Click	
MIT-CMU	
MIT-enna	
MIT-feh	
MIT-Festival	
MIT-Khronos-old	
MIT-Modern-Variant	O
MIT-open-group	
MIT-testregex	
MIT-Wu	
MITNFA	
MMIXware	
Motosoto	O
MPEG-SSG	
mpi-permissive	
mpich2	
MPL-1.0	O
MPL-1.1	OF
MPL-2.0	OF
MPL-2.0-no-copyleft-exception	O
mplus	
MS-LPL	
MS-PL	OF
MS-RL	OF
MTLL	
MulanPSL-1.0	
MulanPSL-2.0	O
Multics	O
Mup	
NAIST-2003	
NASA-1.3	O
Naumen	O
NBPL-1.0	
NCBI-PD	
NCGL-UK-2.0	
NCL	
NCSA	OF
Net-SNMP	D
NetCDF	
Newsletr	
NGPL	O
ngrep	
NICTA-1.0	
NIST-PD	
NIST-PD-fallback	
NIST-Software	
NLOD-1.0	
NLOD-2.0	
NLPL	
Nokia	OF
NOSL	F
Noweb	
NPL-1.0	F
NPL-1.1	F
NPOSL-3.0	O
NRL	
NTIA-PD	
NTP	O
NTP-0	
Nunit	DF
O-UDA-1.0	
OAR	
OCCT-PL	
OCLC-2.0	O
ODbL-1.0	F
ODC-By-1.0	
OFFIS	
OFL-1.0	F
OFL-1.0-no-RFN	
OFL-1.0-RFN	
OFL-1.1	OF
OFL-1.1-no-RFN	O
OFL-1.1-RFN	O
OGC-1.0	
OGDL-Taiwan-1.0	
OGL-Canada-2.0	
OGL-UK-1.0	
OGL-UK-2.0	
OGL-UK-3.0	
OGTSL	O
OLDAP-1.1	
OLDAP-1.2	
OLDAP-1.3	
OLDAP-1.4	
OLDAP-2.0	
OLDAP-2.0.1	
OLDAP-2.1	
OLDAP-2.2	
OLDAP-2.2.1	
OLDAP-2.2.2	
OLDAP-2.3	F
OLDAP-2.4	
OLDAP-2.5	
OLDAP-2.6	
OLDAP-2.7	F
OLDAP-2.8	O
OLFL-1.3	O
OML	
OpenPBS-2.3	
OpenSSL	F
OpenSSL-standalone	
OpenVision	
OPL-1.0	
OPL-UK-3.0	
OPUBL-1.0	
OSET-PL-2.1	O
OSL-1.0	OF
OSL-1.1	F
OSL-2.0	OF
OSL-2.1	OF
OSL-3.0	OF
PADL	
Parity-6.0.0	
Parity-7.0.0	
PDDL-1.0	
PHP-3.0	O
PHP-3.01	OF
Pixar	
pkgconf	
Plexus	
pnmstitch	
PolyForm-Noncommercial-1.0.0	
PolyForm-Small-Business-1.0.0	
PostgreSQL	O
PPL	
PSF-2.0	
psfrag	
psutils	
Python-2.0	OF
Python-2.0.1	
python-ldap	
Qhull	
QPL-1.0	OF
QPL-1.0-INRIA-2004	
radvd	
Rdisc	
RHeCos-1.1	
RPL-1.1	O
RPL-1.5	O
RPSL-1.0	OF
RSA-MD	
RSCPL	O
Ruby	F
Ruby-pty	
SAX-PD	
SAX-PD-2.0	
Saxpath	
SCEA	
SchemeReport	
Sendmail	
Sendmail-8.23	
Sendmail-Open-Source-1.1	
SGI-B-1.0	
SGI-B-1.1	
SGI-B-2.0	F
SGI-OpenGL	
SGP4	
SHL-0.5	
SHL-0.51	
SimPL-2.0	O
SISSL	OF
SISSL-1.2	
SL	
Sleepycat	OF
SMAIL-GPL	
SMLNJ	F
SMPPL	
SNIA	
snprintf	
SOFA	
softSurfer	
Soundex	
Spencer-86	
Spencer-94	
Spencer-99	
SPL-1.0	OF
ssh-keyscan	
SSH-OpenSSH	
SSH-short	
SSLeay-standalone	
SSPL-1.0	
StandardML-NJ	DF
SugarCRM-1.1.3	
SUL-1.0	
Sun-PPP	
Sun-PPP-2000	
SunPro	
SWL	
swrule	
Symlinks	
TAPR-OHL-1.0	
TCL	
TCP-wrappers	
TermReadKey	
TGPPL-1.0	
ThirdEye	
threeparttable	
TMate	
TORQUE-1.1	
TOSL	
TPDL	
TPL-1.0	
TrustedQSL	
TTWL	
TTYP0	
TU-Berlin-1.0	
TU-Berlin-2.0	
Ubuntu-font-1.0	
UCAR	
UCL-1.0	O
ulem	
UMich-Merit	
Unicode-3.0	O
Unicode-DFS-2015	
Unicode-DFS-2016	O
Unicode-TOU	
UnixCrypt	
Unlicense	OF
Unlicense-libtelnet	
Unlicense-libwhirlpool	
UPL-1.0	OF
URT-RLE	
Vim	F
VOSTROM	
VSL-1.0	O
W3C	OF
W3C-19980720	
W3C-20150513	O
w3m	
Watcom-1.0	O
Widget-Workshop	
Wsuipa	
WTFPL	F
wwl	
wxWindows	DO
X11	F
X11-distribute-modifications-variant	
X11-swapped	
Xdebug-1.03	
Xerox	
Xfig	
XFree86-1.1	F
xinetd	F
xkeyboard-config-Zinoviev	
xlock	
Xnet	O
xpp	
XSkat	
xzoom	
YPL-1.0	
YPL-1.1	F
Zed	
Zeeff	
Zend-2.0	F
Zimbra-1.3	F
Zimbra-1.4	
Zlib	OF
zlib-acknowledgement	
ZPL-1.1	
ZPL-2.0	OF
ZPL-2.1	OF
